timestamp,outdoor_temp,outdoor_feels_like,outdoor_pressure,outdoor_humidity,outdoor_weather,outdoor_pm25,outdoor_pm10,indoor_temp,indoor_light
2024-04-23 14:15:44,38.97,45.97,1005.0,44.0,Clouds,109.0,59.0,32.0,54.0
2024-04-23 14:20:44,38.97,45.97,1005.0,44.0,Clouds,109.0,59.0,32.0,53.0
2024-04-23 14:25:44,38.5,45.5,1005.0,44.0,Clouds,109.0,59.0,32.0,53.0
2024-04-23 14:30:44,38.5,45.5,1005.0,44.0,Clouds,109.0,59.0,31.75,55.0
2024-04-23 14:35:44,38.5,45.5,1005.0,44.0,Clouds,106.0,58.0,32.0,54.0
2024-04-23 14:40:45,38.71,45.71,1005.0,43.0,Clouds,106.0,58.0,32.25,55.0
2024-04-23 14:45:44,38.71,45.71,1005.0,43.0,Clouds,104.0,57.0,32.0,55.0
2024-04-23 14:50:45,38.05,45.05,1005.0,45.0,Clouds,104.0,57.0,32.25,55.0
2024-04-23 14:55:45,38.05,45.05,1005.0,45.0,Clouds,104.0,57.0,32.25,56.0
2024-04-23 15:00:45,38.11,45.11,1005.0,45.0,Clouds,101.0,57.0,32.25,56.0
2024-04-23 15:05:45,37.88,44.88,1005.0,44.0,Clouds,101.0,57.0,32.25,56.0
2024-04-23 15:10:45,37.88,44.88,1005.0,44.0,Clouds,101.0,57.0,32.25,56.0
2024-04-23 15:15:45,38.24,45.24,1005.0,43.0,Clouds,101.0,57.0,32.25,56.0
2024-04-23 15:20:45,38.24,45.24,1005.0,43.0,Clouds,101.0,56.0,32.25,56.0
2024-04-23 15:25:45,38.24,45.24,1005.0,43.0,Clouds,97.0,55.0,32.5,57.0
2024-04-23 15:30:45,38.48,45.48,1004.0,42.0,Clouds,97.0,55.0,32.5,57.0
2024-04-23 15:35:45,38.48,45.48,1004.0,42.0,Clouds,95.0,54.0,32.5,56.0
2024-04-23 15:40:45,38.48,45.48,1004.0,42.0,Clouds,95.0,54.0,32.5,57.0
2024-04-23 15:45:45,38.43,44.91,1004.0,41.0,Clouds,95.0,54.0,32.5,56.0
